BestFitness,AvgFitness,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9
70,144.02,956,521,3252,6620,5447,6089,3765,4125,3544,6925
75,134.86,956,501,3252,6620,5478,6094,3801,4125,3544,6819
61,142.7,976,341,3259,6656,5412,6132,3768,4081,3555,6925
61,150.78,1011,489,3294,6656,5412,6132,3768,4081,3555,6871
77,143.52,904,444,3222,6684,5350,6077,3796,4091,3487,6915
62,138.16,904,444,3265,6685,5350,6101,3796,4091,3487,6915
54,143.08,985,448,3265,6685,5350,6101,3768,4081,3487,6915
64,146.3,897,455,3250,6620,5350,6101,3768,4095,3555,6871
50,144.44,985,448,3236,6660,5350,6101,3768,4090,3555,6888
64,148.24,987,494,3222,6666,5353,6065,3768,4081,3559,6909
56,142.4,966,442,3250,6684,5331,6110,3786,4088,3489,6892
62,133.2,908,442,3250,6664,5331,6110,3786,4088,3424,6916
56,138.5,892,442,3250,6684,5331,6110,3786,4081,3518,6916
46,137.1,922,553,3250,6684,5331,6110,3786,4088,3551,6871
46,158.86,922,380,3250,6664,5331,6110,3786,4088,3551,6846
61,145.88,922,458,3252,6760,5331,6110,3729,4088,3551,6878
62,132.34,922,455,3252,6760,5331,6041,3769,4088,3551,6878
65,147.72,985,709,3234,6625,5396,6110,3766,4085,3529,6827
65,150.44,1039,343,3279,6704,5331,6080,3812,4110,3559,6837
77,155.38,984,401,3238,6637,5398,6095,3779,4137,3474,6928
79,153.4,893,536,3306,6680,5248,6132,3786,4103,3531,6944
69,162.58,1031,484,3279,6674,5217,6041,3791,4093,3564,6816
87,163.24,909,253,3238,6481,5234,6099,3817,4176,3528,6853
91,162.24,866,536,3305,6651,5392,6136,3772,4135,3574,6827
66,171.72,866,509,3327,6489,5286,6099,3771,4072,3528,6765
87,159.04,901,481,3230,6618,5327,6099,3796,4123,3514,6841
69,165.46,971,536,3305,6651,5445,6051,3739,4053,3525,6920
87,166.44,866,509,3327,6505,5372,6108,3821,4145,3557,6868
64,160.3,993,479,3260,6632,5247,6105,3767,4090,3484,6796
72,173.86,994,506,3271,6439,5414,6087,3791,4073,3557,6868
80,161.08,947,561,3238,6655,5247,6115,3734,4134,3545,6771
91,152.76,1067,344,3259,6676,5216,6135,3777,4063,3557,6914
71,150.96,1010,514,3290,6670,5479,6089,3754,4056,3583,6850
72,152.82,990,247,3168,6664,5286,6105,3821,4096,3338,6925
67,169.52,947,503,3245,6653,5303,6072,3750,4096,3513,6841
63,164.54,947,503,3245,6653,5297,6115,3781,4088,3513,6841
62,152.56,1052,538,3164,6696,5333,6072,3751,4096,3353,6872
62,145.24,1052,538,3164,6696,5325,6072,3751,4096,3353,6872
49,152.94,958,492,3239,6653,5223,6080,3781,4088,3549,6838
73,161.58,990,487,3286,6618,5238,6072,3733,4040,3546,6794
66,165.06,1012,537,3290,6698,5302,6080,3784,4112,3503,6880
50,163.32,988,487,3278,6662,5319,6104,3738,4045,3546,6869
62,160.1,990,487,3278,6702,5346,6104,3738,4040,3489,6887
51,155.14,891,302,3158,6445,5333,6099,3787,4094,3356,6734
53,155.6,944,267,3238,6696,5296,6101,3787,4077,3546,6909
58,132.62,944,174,3238,6723,5296,6101,3787,4077,3564,6890
64,132.56,977,514,3317,6459,5292,6104,3745,4068,3536,6882
64,128.0,1044,33,3303,6644,5344,6104,3772,4068,3582,6807
48,133.7,1012,355,3304,6703,5302,6102,3781,4089,3557,6832
57,133.74,970,326,3257,6662,5255,6102,3781,4118,3557,6877
64,140.18,924,48,3241,6771,5422,6099,3772,4116,3429,6908
60,145.4,1032,204,3257,6634,5325,6099,3798,4098,3555,6891
66,143.46,1051,101,3261,6708,5327,6102,3760,4077,3545,6953
67,148.68,944,77,3291,6477,5208,6112,3771,4082,3515,6923
53,157.28,976,126,3260,6710,5371,6099,3771,4082,3515,6925
69,155.76,1053,101,3282,6656,5434,6099,3740,4075,3517,6922
57,144.72,1019,58,3282,6703,5352,6092,3760,4093,3517,6922
56,178.78,937,58,3282,6750,5352,6092,3760,4093,3574,6922
69,159.16,938,751,3282,6750,5352,6141,3791,4093,3552,6922
58,163.34,959,327,3296,6715,5350,6099,3788,4127,3552,6862
58,156.62,959,327,3313,6715,5289,6099,3788,4127,3552,6924
67,163.18,1000,306,3296,6661,5350,6099,3750,4127,3568,6808
76,157.44,917,298,3288,6641,5208,6101,3763,4166,3528,6802
72,152.62,917,311,3224,6704,5327,6101,3788,4109,3422,6868
69,145.8,917,20,3261,6706,5418,6043,3767,4093,3578,6895
85,141.54,941,123,3343,6718,5369,6043,3803,4093,3590,6839
78,157.0,944,18,3261,6656,5466,6043,3779,4128,3528,6820
73,158.86,961,123,3289,6640,5414,6071,3790,4120,3590,6797
70,161.44,917,421,3288,6653,5368,6107,3824,4119,3625,6821
95,168.54,925,123,3342,6647,5310,5985,3803,4119,3566,6802
72,171.92,961,194,3259,6629,5422,6097,3743,4039,3515,6752
75,172.64,1052,123,3289,6653,5368,6109,3817,4102,3552,6800
82,153.18,961,194,3259,6664,5397,6048,3801,4088,3542,6800
62,155.66,950,121,3306,6662,5291,6090,3807,4108,3604,6815
80,151.7,900,29,3271,6729,5457,6005,3788,4103,3530,6873
67,148.04,894,171,3289,6653,5362,6071,3763,4103,3484,6800
81,145.04,921,153,3264,6653,5250,6109,3823,4102,3484,6800
42,150.62,982,96,3255,6719,5344,6109,3776,4079,3547,6895
